book_id,ISBN,title,author,type,press,entey_time
8619,9787115371072,程序员必读之软件架构,[英] Simon Brown,3,人民邮电出版社,1538986683650
8620,9787115313089,设计师要懂心理学,[美] Susan Weinschenk,3,人民邮电出版社,1538986683650
8621,9787115313089,设计师要懂心理学,[美] Susan Weinschenk,3,人民邮电出版社,1538986683650
8622,9787115427847,设计师要懂心理学2,[美] Susan Weinschenk,3,人民邮电出版社,1538986683650
8623,9787115427847,设计师要懂心理学2,[美] Susan Weinschenk,3,人民邮电出版社,1538986683650
8624,9787115369093,重构,[美]马丁.福勒 Martin Fowler,3,人民邮电出版社,1538986683650
8625,9787115369093,重构,[美]马丁.福勒 Martin Fowler,3,人民邮电出版社,1538986683650
8626,9787115460769,构建之法,邹欣,3,人民邮电出版社,1538986683650
8627,9787115460769,构建之法,邹欣,3,人民邮电出版社,1538986683650
8628,9787115216878,代码整洁之道,[美]Robert C. Martin,3,人民邮电出版社,1538986683650
8629,9787115216878,代码整洁之道,[美]Robert C. Martin,3,人民邮电出版社,1538986683650
8630,9787115429476,软技能,John Sonmez,3,人民邮电出版社,1538986683650
8631,9787115429476,软技能,John Sonmez,3,人民邮电出版社,1538986683650
8700,9787121196034,网络科学引论,Mark E.J.Newman,2,电子工业出版社,1538986683650
8701,9787121196034,网络科学引论,Mark E.J.Newman,2,电子工业出版社,1538986683650
8702,9787115360366,图解网络硬件,[日] 三轮贤一,2,人民邮电出版社,1538986683650
8703,9787115360366,图解网络硬件,[日] 三轮贤一,2,人民邮电出版社,1538986683650
8704,9787115429674,Linux命令行与shell脚本编程大全[第3版],[美]布鲁姆，布雷斯纳汉 著;门佳/武海峰 译,2,人民邮电出版社,1538986683650
8705,9787115429674,Linux命令行与shell脚本编程大全[第3版],[美]布鲁姆，布雷斯纳汉 著;门佳/武海峰 译,2,人民邮电出版社,1538986683650
8706,9787115281487,Http权威指南,David Gourley; Brian Totty,2,人民邮电出版社,1538986683650
8707,9787115281487,Http权威指南,David Gourley; Brian Totty,2,人民邮电出版社,1538986683650
8708,9787115318978,图解TCP/IP[第5版],[日]竹下隆史;[日]村山公保;[日]荒井透;[日]苅田幸雄,2,人民邮电出版社,1538986683650
8709,9787115318978,图解TCP/IP[第5版],[日]竹下隆史;[日]村山公保;[日]荒井透;[日]苅田幸雄,2,人民邮电出版社,1538986683650
8800,9787121313837,数字图像处理 第三版 ,拉斐尔[Rafael];C.冈萨雷斯 [C.Gonzalez,1],电子工业出版社,1538986683650
8801,9787121313837,数字图像处理 第三版 ,拉斐尔[Rafael];C.冈萨雷斯 [C.Gonzalez,1],电子工业出版社,1538986683650
